0	15.49	100.22	88.61
0.5	20.5	118.85	42.48
1	19.26	93.41	95.82
1.5	20.86	92.55	64.74
2	23.67	107.24	81.77
2.5	21.15	99.07	97.73
3	17.27	87.26	77.59
3.5	20.07	118.1	48.75
4	16.12	104.62	52.16
4.5	21.53	114.21	66.92
5	17.98	115.98	40.24
5.5	20.85	80.78	62.59
6	16.17	81.21	91.57
6.5	20.23	88.88	43.16
7	19.78	89.03	98.56
7.5	22.09	95.12	50.13
8	16.65	93.14	40.93
8.5	18.54	119.23	80.64
9	20.04	113.28	98.51
9.5	15.85	86.41	85.71
10	22.99	119.85	96.05
10.5	18.2	87.89	91.45
11	15.31	109.18	78.32
11.5	19.94	102.06	93.28
12	23.74	83.86	56.56
12.5	17.75	116.57	45.76
13	21.19	100	68.2
13.5	22.83	96.17	63.19
14	18.69	93.26	97.9
14.5	18.01	88.72	94.25
15	19.97	87.04	50.4
15.5	18.16	91.36	86.44
16	20.49	82.01	74.86
16.5	15.64	103.97	88.17
17	21.77	109.72	63.41
17.5	18.02	91.58	66.12
18	21.53	113.42	66.63
18.5	22.51	119.18	71.68
19	19.9	108.81	49.15
19.5	16.21	118.27	84.74
20	20.86	95.3	85.36
20.5	23.53	101.75	70.74
21	18.87	103.47	61.77
21.5	23.63	97.64	68.92
22	23.1	83.31	47.25
22.5	16.69	98.11	40.06
23	15.41	116.29	42.44
23.5	23.23	92.08	58.6
24	23.12	117.11	93.83
24.5	16.6	85.84	63.19
