0	20.88	103.15	66.17
0.5	16.44	96.52	92.07
1	19.01	112.48	95.76
1.5	16.98	80.16	87.9
2	19.21	99.43	70.86
2.5	17.51	97.74	93.36
3	15.17	113.27	60.89
3.5	23.39	92.96	76.7
4	18.81	82.33	82.79
4.5	22.84	99.22	54.04
5	21.09	105.2	58.5
5.5	16.37	98.87	75.91
6	20.36	102.19	59.4
6.5	15.83	99.26	81.24
7	18.22	112.5	41
7.5	19.92	97.83	82.98
8	15.14	109.29	67.44
8.5	18.28	111.62	64.95
9	17.32	115.26	66
9.5	16.98	95.46	68.39
10	23.32	92.06	69.02
10.5	16.09	102.81	59.76
11	22.12	115.64	72.58
11.5	20.78	100.47	89.13
12	20.36	103.58	92.28
12.5	16.59	115.55	84.03
13	16.18	84.77	81.8
13.5	16.89	89.52	47.48
14	20.11	86.58	58.22
14.5	19.65	115.48	43.09
15	15.96	115.12	68.29
15.5	17.71	84.88	72.16
16	17.8	110.59	75.05
16.5	18.97	107.47	75.25
17	18.75	85.25	53.75
17.5	20.49	96.5	50.47
18	20.59	91.73	48.58
18.5	16.65	110.94	86.73
19	22.47	96.99	76.08
19.5	16.57	91.86	56.88
20	19.45	83.81	90.06
20.5	22.49	104.24	51.24
21	23.83	114.36	69.01
21.5	17.31	84.49	74.58
22	19.86	97.65	79.88
22.5	22.74	98.14	64.54
23	19.13	119.15	72.65
23.5	15.48	92.69	52.71
24	18.16	114.55	83.48
24.5	17.89	118.46	62.59
