0	19.39	95.39	68.76
0.5	15.03	89.68	56.89
1	19.38	93.87	60.84
1.5	21.28	106.18	80.3
2	17.68	109.62	89.06
2.5	21.41	86.97	68.17
3	17.17	98.78	80.46
3.5	19.67	96.81	42.44
4	20.77	101.15	40.72
4.5	16.07	88.96	91.97
5	21.41	116.39	46.65
5.5	23.56	119.9	85.89
6	20.97	109.24	97.44
6.5	22.31	119.36	58.28
7	20.74	102.18	96.3
7.5	20.93	109.84	76.81
8	22.01	81.13	86.59
8.5	23.88	94.94	55.46
9	17	98.91	60.85
9.5	23.95	115.11	99.8
10	15.52	116.11	89.18
10.5	16.87	89.58	99.83
11	22.57	94.87	67.3
11.5	19.59	99.42	65.92
12	22.27	83.03	97.56
12.5	15.01	95.79	62.43
13	21.25	86.62	46.03
13.5	23.28	103.8	69.44
14	19.55	112.12	40.38
14.5	23.71	108.12	99.37
15	22.16	117.08	95.62
15.5	17.35	86.06	62.8
16	16.55	95.49	60.45
16.5	18.8	114.51	56.89
17	23.49	97.61	96.87
17.5	17.28	100.2	42.61
18	16.97	86.64	95.21
18.5	17.65	109.05	97.24
19	17.25	118.63	86.2
19.5	22.94	115.76	41.54
20	18.73	97.26	84.25
20.5	19.53	116.03	64.65
21	18.88	100.94	46.79
21.5	22.62	99.99	42.87
22	16.46	95.86	52.67
22.5	19.34	88.09	84.7
23	19.91	102.66	41.95
23.5	17.81	115.51	45.23
24	16.48	87.61	78.84
24.5	17.28	116.09	58.7
