0	22.93	106.9	70.82
0.5	21.48	96.27	48.77
1	18.4	83.95	77.64
1.5	17.38	117.3	78.34
2	19.55	87.95	89.83
2.5	19.13	111.01	67.28
3	17.95	116.42	59.77
3.5	15.22	111.93	69.6
4	18.08	81.67	49.33
4.5	15.21	83.94	67.42
5	16.96	93.37	83.95
5.5	22.53	107.83	82.2
6	17.14	99.38	61.14
6.5	16.15	83.86	56.54
7	20.11	90.88	80.57
7.5	22.75	118.42	42.41
8	21.55	99.45	59.51
8.5	19.01	117.47	54.79
9	18.39	108.2	97.96
9.5	21.3	115.75	93.5
10	22.67	114.31	57.34
10.5	20.01	106.43	61.75
11	19.67	97.22	72.47
11.5	18.38	110.5	59.03
12	15.76	87.23	43.62
12.5	15.75	83.08	41.05
13	23.77	91.74	45.53
13.5	19.21	109.1	59.02
14	21.21	113.88	87.4
14.5	16.63	106.8	41.78
15	17.37	117.33	43.15
15.5	21.49	93.18	57.9
16	18.64	109.68	56.92
16.5	23.78	102.73	59.97
17	21.62	87.58	75.71
17.5	22.02	89.88	62.42
18	23.59	106.59	92.08
18.5	19.98	94.2	49.57
19	15.54	95.8	51.03
19.5	23.17	115.72	50.63
20	15.41	86.67	76.55
20.5	23.81	103.32	91.98
21	18.67	115.53	41.33
21.5	15.12	102.94	99.47
22	22.21	83	50.71
22.5	19.95	93.22	56.8
23	18.18	117.39	99.83
23.5	19.78	98.56	69.71
24	23.47	80.79	97.16
24.5	17.8	89.93	80.16
